title,year,name,type,character,n
The Misadventures of Merlin Jones,1964,Leon Ames,actor,Lex Fortas,3.0
The Monkey's Uncle,1965,Leon Ames,actor,Judge Holmsby,3.0
The Postman Always Rings Twice,1946,Leon Ames,actor,Kyle Sackett,5.0
The Show-Off,1946,Leon Ames,actor,Frank Harlin,7.0
The Skipper Surprised His Wife,1950,Leon Ames,actor,Dr. Philip Abbott,5.0
The Spy Ring,1938,Leon Ames,actor,Frank Denton,5.0
The Thin Man Goes Home,1945,Leon Ames,actor,Edgar Draque,8.0
The Velvet Touch,1948,Leon Ames,actor,Gordon Dunning,5.0
They Were Expendable,1945,Leon Ames,actor,Major James Morton,8.0
Thirty Seconds Over Tokyo,1944,Leon Ames,actor,Lt. Jurika,17.0
Thunder Afloat,1939,Leon Ames,actor,Recruiting Officer,
Timber Tramps,1975,Leon Ames,actor,Deacon,
Toklat,1971,Leon Ames,actor,Old Man,1.0
Toklat,1971,Leon Ames,actor,Narrator,1.0
Tora! Tora! Tora!,1970,Leon Ames,actor,Frank Knox,14.0
Undercover Maisie,1947,Leon Ames,actor,Amor aka Willis Farnes,4.0
Uptown New York,1932,Leon Ames,actor,Max Silver,3.0
Walking Down Broadway,1938,Leon Ames,actor,Frank Gatty,14.0
Watch the Birdie,1950,Leon Ames,actor,Grantland D. Farns,4.0
Week-End at the Waldorf,1945,Leon Ames,actor,Henry Burton,9.0
Yolanda and the Thief,1945,Leon Ames,actor,Mr. Candle,6.0
Ass Backwards,2013,Leonard Amoia,actor,Construction Worker,
Kung patatawarin ka ng bala ko!,1991,Bebeng Amora,actor,Steve Bodyguard,22.0
Bangkok Kung Fu,2011,Arak Amornsupasiri,actor,Phong,
Mortinho por Chegar a Casa,1996,Leonardo Amuedo,actor,Muzikant,
7 donne per i MacGregor,1967,Leo Anchóriz,actor,Maldonado,3.0
7 pistole per i MacGregor,1966,Leo Anchóriz,actor,Santillana,6.0
Ammazzali tutti e torna solo,1968,Leo Anchóriz,actor,Deker,4.0
Che c'entriamo noi con la rivoluzione?,1972,Leo Anchóriz,actor,Carrasco,9.0
Cipolla Colt,1975,Leo Anchóriz,actor,Sheriff,5.0
El inquilino,1958,Leo Anchóriz,actor,Inspector,22.0
Finger on the Trigger,1965,Leo Anchóriz,actor,Ed Bannister,4.0
I pirati della Malesia,1964,Leo Anchóriz,actor,Lord Brook,6.0
"I tre che sconvolsero il West (Vado, vedo e sparo)",1968,Leo Anchóriz,actor,Garrito Lopez,5.0
Il gladiatore invincibile,1961,Leo Anchóriz,actor,Prime-Minister Rabirius,4.0
La cuarta ventana,1963,Leo Anchóriz,actor,Carlos,8.0
Los desesperados,1969,Leo Anchóriz,actor,Friar,4.0
Marcia o crepa,1962,Leo Anchóriz,actor,Garcia,12.0
Muchachas de azul,1957,Leo Anchóriz,actor,Carlos - novio de Pilar,13.0
Noches de Casablanca,1963,Leo Anchóriz,actor,Lucien,4.0
O Cangaceiro,1970,Leo Anchóriz,actor,Colonel Minas,5.0
Perseo l'invincibile,1963,Leo Anchóriz,actor,Galenore,4.0
"Sandokan, la tigre di Mompracem",1963,Leo Anchóriz,actor,Lord Guillonk,6.0
Tutti per uno botte per tutti,1973,Leo Anchóriz,actor,Aramirez,3.0
Umorismo in nero,1965,Leo Anchóriz,actor,Gayton - segment 2 'La Mandrilla - Miss Wilma',12.0
Kungsgatan,1943,Helge Andersson,actor,Guest at Party,
Kungajakt,1944,Wiktor Andersson,actor,Man at the inn,
Kungen av Dalarna,1953,Wiktor Andersson,actor,Korv-Anders,
Kungen kommer,1936,Wiktor Andersson,actor,Ajax no. 2,
Kungliga Johansson,1934,Wiktor Andersson,actor,Conscript,
Kungliga patrasket,1945,Wiktor Andersson,actor,Hans påklädare,12.0
Beauty and the Beast,2017,Leo Andrew,actor,Apothecary,48.0
Found in Time,2012,MacLeod Andrews,actor,Chris,1.0
Split (VII),2016,MacLeod Andrews,actor,Stan,14.0
Split (VII),2016,MacLeod Andrews,actor,Satan,14.0
The Rusalka,2018,MacLeod Andrews,actor,Al,
Inexplicable Epiphanies,2013,Terry Leon Andrews,actor,Leon,10.0
Ta hronika tou Drakofoinika: Adamastos,2013,Leonidas Andriotis,actor,Barbarian Guard #1,
Album polski,1970,Leonard Andrzejewski,actor,"Stanislaw Kolinski ""Sep""",
Bez milosci,1980,Leonard Andrzejewski,actor,Receptionist,9.0
Czas dojrzewania,1984,Leonard Andrzejewski,actor,Janitor,3.0
Czlowiek z zelaza,1981,Leonard Andrzejewski,actor,SB Officer,22.0
Der Aufenthalt,1983,Leonard Andrzejewski,actor,Aufnahmebeamter,15.0
Faraon,1966,Leonard Andrzejewski,actor,Tehenna - Lybian Commander,17.0
"Galimatias, czyli kogel-mogel II",1989,Leonard Andrzejewski,actor,Peasant,22.0
Haracz szarego dnia,1984,Leonard Andrzejewski,actor,Bahnschutz,
Jak rozpetalem druga wojne swiatowa,1970,Leonard Andrzejewski,actor,Foreign Legion Soldier,22.0
Jestem przeciw,1985,Leonard Andrzejewski,actor,Concierge,20.0
Jeszcze tylko ten las,1991,Leonard Andrzejewski,actor,Man on the Train,
Kapelusz pana Anatola,1957,Leonard Andrzejewski,actor,Gang Member with Hat,
Katastrofa w Gibraltarze,1984,Leonard Andrzejewski,actor,French General,
Kogel-mogel,1988,Leonard Andrzejewski,actor,Peasant,10.0
Kontrybucja,1967,Leonard Andrzejewski,actor,Lekarz,7.0
Kopernik,1973,Leonard Andrzejewski,actor,Knight from Dobre Miasto,
Miasteczko,1960,Leonard Andrzejewski,actor,Kasprzak,15.0
